"item","Zh","outfit","z.outfit","infit","z.infit","S_X2","df.S_X2","RMSEA.S_X2","p.S_X2","X2_star","p.X2_star"
"Item71",1.15761764264613,0.895030662710101,-1.68796039423643,0.948019151081719,-0.842738272906002,77.5283947406886,43,0.0333723149730473,0.000973185522494018,83.1418384167333,0.0076
"Item72",1.11812212384235,0.883947307322278,-1.74048972872616,0.945499775408054,-0.879266291813363,117.252458934521,55,0.039621350835764,2.11517769413605e-06,137.252297425319,0.003
"Item73",0.822878859104172,1.02796183296373,0.465200378709222,1.0058084411661,0.121023975345864,130.980409435874,60,0.0405066187624466,3.35704496801297e-07,104.419289071723,8e-04
"Item74",1.00299243082573,0.914560324842928,-1.33863099642451,0.950332393719382,-0.794769072907551,101.947511628291,50,0.0379603090868872,2.04107431234007e-05,48.7297342375176,0.0172
"Item75",0.948444405619645,0.901799889428072,-1.558075443369,0.941089165967355,-0.943709220584603,96.3445139970676,56,0.0316104441637966,0.000650215693783963,69.695724705771,0.0084
"Item76",1.53526429350926,0.928922421599769,-1.01474354818495,0.961662200014555,-0.624906089222226,67.9067479991295,44,0.0274515127150494,0.0118406140561159,95.8754468222636,0.0062
"Item77",2.40137763691174,0.821479277663662,-1.91269652515433,0.87166439024363,-2.09490426732574,47.3677162033657,34,0.0233518621124112,0.0635475991479328,69.223365225457,0.0106
"Item78",2.49999232456302,0.80458260160109,-1.77089209491375,0.844525866626204,-2.55890646083256,49.9718150465701,31,0.0291343921659572,0.0168664646112324,16.9307443539929,0.0994
"Item79",2.58240674379786,0.762719512839309,-2.11832314714354,0.834215480269976,-2.71821529445221,47.4890535656431,31,0.027161226998302,0.0294392906797318,44.4278329615823,0.0166
"Item80",2.26514053830249,0.817484943182476,-1.95898487015228,0.855590250809386,-2.41336468834887,52.6844653136555,35,0.0264724606996885,0.0278898688349895,45.9716461383256,0.0212
